lat,lon,alt,date,device,os,version
33.7770118713,-84.3884887695,308.206939697,2012-11-04 18:37:52,"iPhone4,1",6.0.1,1.1
33.7771377563,-84.3940887451,306.843353271,2012-11-04 19:16:16,"iPhone4,1",6.0.1,1.1
33.7761955261,-84.3846588135,309.479492188,2012-11-05 01:53:04,"iPhone4,1",6.0.1,1.1
33.7767295837,-84.3691940308,289.362915039,2012-11-05 04:35:12,"iPhone4,1",6.0.1,1.1
33.7743835449,-84.379737854,287.455108643,2012-11-05 04:50:08,"iPhone4,1",6.0.1,1.1
33.7761726379,-84.3848876953,303,2012-11-05 15:51:28,"iPhone4,1",6.0.1,1.1
33.7771759033,-84.3974914551,296.291778564,2012-11-05 15:55:44,"iPhone4,1",6.0.1,1.1
33.7767868042,-84.3876571655,303,2012-11-06 06:43:12,"iPhone4,1",6.0.1,1.1
33.7745056152,-84.3798217773,289.486572266,2012-11-06 07:25:52,"iPhone4,1",6.0.1,1.1
33.7769050598,-84.3893051147,303,2012-11-06 17:06:08,"iPhone4,1",6.0.1,1.1
33.7770500183,-84.3965835571,303,2012-11-06 18:31:28,"iPhone4,1",6.0.1,1.1
33.776966095,-84.388420105,303,2012-11-07 01:23:12,"iPhone4,1",6.0.1,1.1
33.7743110657,-84.3798751831,290.323883057,2012-11-07 01:27:28,"iPhone4,1",6.0.1,1.1
33.7720718384,-84.3858718872,291.137329102,2012-11-07 01:44:32,"iPhone4,1",6.0.1,1.1
33.7801780701,-84.3887405396,303,2012-11-07 01:50:56,"iPhone4,1",6.0.1,1.1
33.7815437317,-84.3940429688,303,2012-11-07 02:05:52,"iPhone4,1",6.0.1,1.1
33.7792739868,-84.4100418091,293,2012-11-07 02:16:32,"iPhone4,1",6.0.1,1.1
33.7805290222,-84.4005279541,293.9659729,2012-11-07 04:39:28,"iPhone4,1",6.0.1,1.1
33.7746543884,-84.379989624,303,2012-11-07 04:48:00,"iPhone4,1",6.0.1,1.1
33.7768936157,-84.3896636963,303,2012-11-07 15:04:32,"iPhone4,1",6.0.1,1.1
33.777141571,-84.3975372314,296.160186768,2012-11-07 15:10:56,"iPhone4,1",6.0.1,1.1
33.7768936157,-84.3891296387,303,2012-11-07 15:19:28,"iPhone4,1",6.0.1,1.1
33.7780609131,-84.3964920044,292.872833252,2012-11-07 16:59:44,"iPhone4,1",6.0.1,1.1
33.7768821716,-84.3889541626,297.221282959,2012-11-07 23:30:08,"iPhone4,1",6.0.1,1.1
33.7743835449,-84.3798522949,303,2012-11-07 23:34:24,"iPhone4,1",6.0.1,1.1
33.7729377747,-84.3734054565,298.339935303,2012-11-07 23:51:28,"iPhone4,1",6.0.1,1.1
33.7736167908,-84.3600997925,303,2012-11-08 00:00:00,"iPhone4,1",6.0.1,1.1
33.7897453308,-84.325881958,302.551055908,2012-11-08 00:10:40,"iPhone4,1",6.0.1,1.1
33.7724838257,-84.3454437256,302,2012-11-08 03:31:12,"iPhone4,1",6.0.1,1.1
33.7717018127,-84.3634185791,303,2012-11-08 03:35:28,"iPhone4,1",6.0.1,1.1
33.7742156982,-84.3707046509,303,2012-11-08 04:01:04,"iPhone4,1",6.0.1,1.1
33.7739486694,-84.3796157837,303,2012-11-08 04:18:08,"iPhone4,1",6.0.1,1.1
33.7769432068,-84.3950119019,283.179260254,2012-11-08 18:12:16,"iPhone4,1",6.0.1,1.1
33.7815628052,-84.4044570923,293,2012-11-09 00:10:40,"iPhone4,1",6.0.1,1.1
33.7821235657,-84.411315918,293,2012-11-09 00:21:20,"iPhone4,1",6.0.1,1.1
33.7865371704,-84.3845062256,303,2012-11-09 02:10:08,"iPhone4,1",6.0.1,1.1
